Title,Year,Notes
Bottoms Up,1934,d.- David Butler (6 1/2)
Evensong,1934,(BR) d.- Victor Saville (6 1/2)
Kid Millions,1934,d.- Roy Del Ruth (6 1/2)
Mrs. Wiggs of the Cabbage Patch,1934,d.- Norman Taurog (6 1/2)
6 Day Bike Rider,1934,d.- Lloyd Bacon (6 1/2)
We’re Not Dressing,1934,d.- Norman Taurog (6 1/2)
The Case of the Howling Dog,1934,d.- Alan Crosland (6 1/2)
Fugitive Lovers,1934,d.- Richard Boleslawski (6 1/2)
The Key,1934,d.- Michael Curtiz (6 1/2)
Search for Beauty,1934,d.- Erle C. Kenton (6 1/2)
"Hips, Hips, Hooray!",1934,d.- Mark Sandrich (6 1/2)
We Live Again,1934,d.- Rouben Mamoulian (6 1/2)
The Notorious Sophie Lang,1934,d.- Ralph Murphy (6 1/2)
Sweet Adeline,1934,d.- Mervyn LeRoy (6 1/2)
Lady By Choice,1934,d.- David Burton (6 1/2)
Young and Beautiful,1934,d.- Joseph Santley (6 1/2)
Hollywood Party,1934,d.- Roy Rowland (6 1/2)
Now and Forever,1934,d.- Henry Hathaway (6 1/2)
Kentucky Kernels,1934,d.- George Stevens (6 1/2)
I’ve Got Your Number,1934,d.- Ray Enright (6 1/2)
Born to be Bad,1934,d.- Lowell Sherman (6 1/2)
Transatlantic Merry-Go-Round,1934,d.- Benjamin Stoloff  (6 1/2)
The Dragon Murder Case,1934,d.- H. Bruce Humberstone (6 1/2)
Baby Take a Bow,1934,d.- Harry Lachman (6 1/2)
The Cat’s-Paw,1934,d.- Sam Taylor (6 1/2)
Change of Heart,1934,d.- John G. Blystone (6)
Young and Beautiful,1934,d.- Joseph Santley (6)
In Old Santa Fe,1934,d.- David Howard (6)
Stand Up and Cheer !,1934,d.- Hamilton MacFadden (6)
Blue Steel,1934,d.- Robert N. Bradbury (6)
Midnight,1934,d.- Chester Erskine (6)
Mutiny on the Bounty,1935,d.- Frank Lloyd (7)
A Tale of Two Cities,1935,d.- Jack Conway (7)
Top Hat,1935,d.- Mark Sandrich (7)
David Copperfield*,1935,d.- George Cukor (7)
A Night at the Opera,1935,d.- Sam Wood (7)
Ruggles of Red Gap,1935,d.- Leo McCarey (7)
The Bride of Frankenstein,1935,d.- James Whale (7)
Captain Blood,1935,d.- Michael Curtiz (7)
Naughty Marietta,1935,d.- W. S. Van Dyke (7)
The 39 Steps,1935,(BR) d.- Alfred Hitchcock (7)
The Story of Louis Pasteur,1935,d.- William Dieterle (7)
Love Me Forever,1935,d.- Victor Schertzinger (6 1/2)
Anna Karenina,1935,d.- Clarence Brown (6 1/2)
The Man on the Flying Trapeze,1935,"d.- Clyde Bruckman, W.C. Fields (6 1/2)"
The Informer,1935,d.- John Ford (6 1/2)
Les Miserables,1935,d.- Richard Boleslawski (6 1/2)
Midsummer Night's Dream,1935,"d.- Max Reinhardt, William Dieterle (6 1/2)"
The Good Fairy,1935,d.- William Wyler (6 1/2)
Gold Diggers of 1935,1935,d.- Busby Berkeley (6 1/2)
The Lives of a Bengal Lancer,1935,d.- Henry Hathaway (6 1/2)
Mad Love,1935,d.- Karl Freund (6 1/2)
‘G’ Men,1935,d.- William Keighley (6 1/2)
Magnificent Obsession,1935,d.- John M. Stahl (6 1/2)
Annie Oakley,1935,d.- George Stevens (6 1/2)
Crime and Punishment,1935,d.- Josef von Sternberg (6 1/2)
Call of the Wild,1935,d.- William A. Wellman (6 1/2)
Diamond Jim,1935,d.- A. Edward Sutherland (6 1/2)
Clive of India,1935,d.- Richard Boleslawski (6 1/2)
Barbary Coast,1935,d.- Howard Hawks (6 1/2)
Broadway Melody of 1936,1935,d.- Roy Del Ruth (6 1/2)
The Little Colonel,1935,d.- David Butler (6 1/2)
"Ah, Wilderness",1935,d.- Clarence Brown (6 1/2)
China Seas,1935,d.- Tay Garnett (6 1/2)
Page Miss Glory,1935,d.- Mervyn LeRoy (6 1/2)
Becky Sharp,1935,d.- Rouben Mamoulian (6 1/2)
The Whole Town’s Talking,1935,d.- John Ford (6 1/2)
Hands Across the Table,1935,d.- Mitchell Leisen (6 1/2)
Mississippi,1935,d.- A. Edward Sutherland (6 1/2)
Four Hours to Kill!,1935,d.- Mitchell Leisen (6 1/2)
Folies Bergere de Paris,1935,d.- Roy Del Ruth (6 1/2)
The Ghost Goes West,1935,(BR) d.- Rene Clair (6 1/2)
The Devil Is a Woman,1935,d.- Josef von Sternberg (6 1/2)
Alice Adams,1935,d.- George Stevens (6 1/2)
The Glass Key,1935,d.- Frank Tuttle (6 1/2)
The Black Room,1935,d.- Roy William Neill (6 1/2)
Roberta,1935,d.- William A. Seiter (6 1/2)
The Littlest Rebel,1935,d.- David Butler (6 1/2)
The Crusades,1935,d.- Cecil B. DeMille (6 1/2)
Charlie Chan in Egypt,1935,d.- Louis King (6 1/2)
The Littlest Rebel,1935,d.- David Butler (6 1/2)
Dante’s Inferno,1935,d.- Harry Lachman (6 1/2)
Dangerous,1935,d.- Alfred E. Green (6 1/2)
The Wedding Night,1935,d.- King Vidor (6 1/2)
Curly Top,1935,d.- Irving Cummings (6 1/2)
Mark of the Vampire,1935,d.- Tod Browning (6 1/2)
Bordertown,1935,d.- Archie Mayo (6 1/2)
Metropolitan,1935,d.- Richard Boleslawski (6 1/2)
The Glass Key,1935,d.- Frank Tuttle (6 1/2)
The Man Who Broke the Bank at Monte Carlo,1935,d.- Stephen Roberts (6 1/2)
The Black Room,1935,d.- Roy William Neill (6 1/2)
If You Could Only Cook,1935,d.- William A. Seiter (6 1/2)
Thanks a Million,1935,d.- Roy Del Ruth (6 1/2)
Peter Ibbetson,1935,d.- Henry Hathaway (6 1/2)
Oil for the Lamps of China,1935,d.- Mervyn LeRoy (6 1/2)
The Last Days of Pompeii,1935,d.- Ernest B. Schoedsack (6 1/2)
Frisco Kid,1935,d.- Lloyd Bacon (6 1/2)
Cardinal Richelieu,1935,d.- Rowland V. Lee (6 1/2)
Charlie Chan in Paris,1935,d.- Lewis Seiler (6 1/2)
Sylvia Scarlett,1935,d.- George Cukor (6 1/2)
The Goose and the Gander,1935,d.- Alfred E. Green (6 1/2)
Alibi Ike,1935,d.- Ray Enright (6 1/2)
Go Into Your Dance,1935,d.- Archie Mayo (6 1/2)
Stranded,1935,d.- Frank Borzage (6 1/2)
Show Them No Mercy!,1935,d.- George Marshall (6 1/2)
The Murder Man,1935,d.- Tim Whelan (6 1/2)
Front Page Woman,1935,d.- Michael Curtiz (6 1/2)
Special Agent,1935,d.- William Keighley (6 1/2)
Devil Dogs of the Air,1935,d.- Lloyd Bacon (6 1/2)
In Person,1935,d.- William A. Seiter (6 1/2)
Star of Midnight,1935,d.- Stephen Roberts (6 1/2)
Charlie Chan in Shanghai,1935,d.- James Tinling (6 1/2)
Bright Lights,1935,d.- Busby Berkeley (6 1/2)
Remember Last Night?,1935,d.- James Whale (6 1/2)
O’shaunessy’s Boy,1935,d.- Richard Boleslawski (6 1/2)
Dark Angel,1935,d.- Sidney Frankin (6 1/2)
Moscow Nights,1935,(BR) d.- Anthony Asquith (6 1/2)
The Party Wire,1935,d.- Erle C. Kenton (6 1/2)
Paddy O’Day,1935,d.- Lewis Seiler (6 1/2)
Steamboat Round the Bend,1935,d.- John Ford (6 1/2)
Life Begins at Forty,1935,d.- George Marshall (6 1/2)
Look Up and Laugh,1935,(BR) d.- Basil Dean (6 1/2)
Reckless,1935,d.- Victor Fleming (6 1/2)
In Old Kentucky,1935,d.- George Marshall (6 1/2)
The Tunnel,1935,(BR) d.- Maurice Elvey (6 1/2)
She,1935,"d.- Lansing C. Holden, Irving Pichel (6 1/2)"
Broadway Gondolier,1935,d.- Lloyd Bacon (6 1/2)
The Farmer Takes a Wife,1935,d.- Victor Fleming (6 1/2)
Private Worlds,1935,d.- Gregory La Cava (6 1/2)
The Case of the Curious Bride,1935,d.- Michael Curtiz (6 1/2)
I Found Stella Parish,1935,d.- Mervyn LeRoy (6 1/2)
Hop-Along Cassidy,1935,d.- Howard Bretherton (6 1/2)
Escape Me Never,1935,(BR) d.- Paul Czinner (6 1/2)
Public Hero #1,1935,d.- J. Walter Ruben (6 1/2)
Mystery of Edwin Drood,1935,d.- Stuart Walker (6 1/2)
Dr. Socrates,1935,d.- William Dieterle (6 1/2)
The Right to Live,1935,d.- William Keighley (6 1/2)
West Point of the Air,1935,d.- Richard Rosson (6 1/2)
Rendezvous,1935,d.- William K. Howard (6 1/2)
The Raven,1935,d.- Lew Landers (6 1/2)
Baby Face Harrington,1935,d.- Raoul Walsh (6 1/2)
The Irish In Us,1935,d.- Lloyd Bacon (6 1/2)
In Caliente,1935,d.- Lloyd Bacon (6 1/2)
The Nitwits,1935,d.- George Stevens (6 1/2)
The Girl from Tenth Avenue,1935,d.- Alfred E. Green (6 1/2)
Escapade,1935,d.- Robert Z. Leonard (6 1/2)
Werewolf of London,1935,d.- Stuart Walker (6 1/2)
Times Square Lady,1935,d.- George B. Seitz (6 1/2)
The Casino Murder Case,1935,d.- Edwin L. Marin (6 1/2)
Shadow of Doubt,1935,d.- George B. Seitz (6 1/2)
Break of Hearts,1935,d.- Philip Moeller (6 1/2)
I Dream Too Much,1935,d.- John Cromwell (6 1/2)
Old Man Rhythm,1935,d.- Edward Ludwig (6 1/2)
The Return of Peter Grimm,1935,d.- Victor Schertzinger (6 1/2)
She Married Her Boss,1935,d.- Gregory La Cava (6 1/2)
Charlie Chan in Shanghai,1935,d.- James Tinling (6 1/2)
Rumba,1935,d.- Marion Gering (6 1/2)
Heritage,1935,(AUS) d.- Charles Chauvel (6 1/2)
First a Girl,1935,(BR) d.- Victor Saville (6 1/2)
Whipsaw,1935,d.- Sam Wood (6 1/2)
Biography of a Bachelor Girl,1935,d.- Edward H. Griffith (6 1/2)
Break of Hearts,1935,d.- Philip Moeller (6 1/2)
Enchanted April,1935,d.- Harry Beaumont (6)
While the Patient Slept,1935,d.- Ray Enright (6 1/2)
I Live My Life,1935,d.- W. S. Van Dyke (6)
Turn of the Tide,1935,(BR) d.- Norman Walker (6)
A Notorious Gentleman,1935,d.- Edward Laemmle (6)
No More Ladies,1935,d.- Edward H. Griffith (6)
The Cocaine Fiends,1935,d.- William A. O’Connor (5)
Mr. Deeds Goes to Town,1936,d.- Frank Capra (7)
Dodsworth,1936,d.- William Wyler (7)
Swing Time,1936,d.- George Stevens (7)
Camille,1936,d.- George Cukor (7)
Libeled Lady,1936,d.- Jack Conway (7)
My Man Godfrey,1936,d.- Gregory La Cava (7)
San Francisco,1936,d.- W. S. Van Dyke (7)
Show Boat,1936,d.- James Whale (7)
Fury,1936,d.- Fritz Lang (7)
The Great Ziegfeld,1936,d.- Robert Z. Leonard (7)
These Three,1936,d.- William Wyler (6 1/2)
Desire,1936,d.- Frank Borzage (6 1/2)
The Green Pastures,1936,"d.- Marc Connelly, William Keighley (6 1/2)"
Follow the Fleet,1936,d.- Mark Sandrich (6 1/2)
The Petrified Forest,1936,d.- Archie Mayo (6 1/2)
The Man Who Could Work Miracles,1936,(BR) d.- Lothar Mendes (6 1/2)
After the Thin Man,1936,d.- W. S. Van Dyke (6 1/2)
Things to Come,1936,d.- William Cameron Menzies (6 1/2)
Romeo and Juliet,1936,d.- George Cukor (6 1/2)
Theodora Goes Wild,1936,d.- Richard Boleslawski (6 1/2)
Rembrandt,1936,(BR) d.- Alexander Korda (6 1/2)
The Charge of the Light Brigade,1936,d.- Michael Curtiz (6 1/2)
Charlie Chan at the Opera,1936,d.- H. Bruce Humberstone (6 1/2)
Desire,1936,d.- Frank Borzage (6 1/2)
Captain January,1936,d.- David Butler (6 1/2)
Rose-Marie,1936,d.- W. S. Van Dyke (6 1/2)
Bullets or Ballots,1936,d.- William Keighley (6 1/2)
Poor Little Rich Girl,1936,d.- Irving Cummings (6 1/2)
Gold Diggers of 1937,1936,"d.- Lloyd Bacon, Busby Berkeley (6 1/2)"
Little Lord Fauntleroy,1936,d.- John Cromwell (6 1/2)
The Milky Way,1936,d.- Leo McCarey (6 1/2)
The Trail of the Lonesome Pine,1936,d.- Henry Hathaway (6 1/2)
Come and Get It,1936,"d.- Howard Hawks, Robert Rosson, William Wyler (6 1/2)"
Tarzan Escapes,1936,d.- Richard Thorpe (6 1/2)
The General Died at Dawn,1936,d.- Lewis Milestone (6 1/2)
Our Relations,1936,d.- Harry Lachman (6 1/2)
Three Smart Girls,1936,d.- Henry Koster (6 1/2)
Pigskin Parade,1936,d.- David Butler (6 1/2)
Wife vs. Secretary,1936,d.- Clarence Brown (6 1/2)
The Devil-Doll,1936,d.- Tod Browning (6 1/2)
Craig’s Wife,1936,d.- Dorothy Arzner (6 1/2)
Lloyd’s of London,1936,d.- Henry King (6 1/2)
One In a Million,1936,d.- Sidney Lanfield (6 1/2)
A Message to Garcia,1936,d.- George Marshall (6 1/2)
Anthony Adverse,1936,d.- Mervyn LeRoy (6 1/2)
The King Steps Out,1936,d.- Josef von Sternberg (6 1/2)
Charlie Chan at the Racetrack,1936,d.- H. Bruce Humberstone (6 1/2)
The Devil is a Sissy,1936,d.- W. S. Van Dyke (6 1/2)
The Walking Dead,1936,d.- Michael Curtiz (6 1/2)
The Plainsman,1936,d.- Cecil B. DeMille (6 1/2)
Secret Agent,1936,(BR) d.- Alfred Hitchcock (6 1/2)
Stowaway,1936,d.- William A. Seiter (6 1/2)
Born to Dance,1936,d.- Roy Del Ruth (6 1/2)
Three Godfathers,1936,d.- Richard Boleslawski (6 1/2)
Love on the Run,1936,d.- W. S. Van Dyke (6 1/2)
The Prisoner of Shark Island,1936,d.- John Ford (6 1/2)
The Bohemian Girl,1936,"d.- James W. Horne, Charley Rogers (6 1/2)"
Sabotage,1936,(BR) d.- Alfred Hitchcock (6 1/2)
Satan Met a Lady,1936,d.- William Dieterle (6 1/2)
The Gorgeous Hussy,1936,d.- Clarence Brown (6 1/2)
The Country Doctor,1936,d.- Henry King (6 1/2)
A Woman Rebels,1936,d.- Mark Sandrich (6 1/2)
Cain and Mabel,1936,d.- Lloyd Bacon (6 1/2)
Mary of Scotland,1936,d.- John Ford (6 1/2)
China Clipper,1936,d.- Ray Enright (6 1/2)
The Princess Comes Across,1936,d.- William K. Howard (6 1/2)
"Go West, Young Man",1936,d.- Henry Hathaway (6 1/2)
Klondike Annie,1936,d.- Raoul Walsh (6 1/2)
The Night is Young,1936,d.- Dudley Murphy (6 1/2)
The White Angel,1936,d.- William Dieterle (6 1/2)
White Fang,1936,d.- David Butler (6 1/2)
The Moon’s Our Home,1936,d.- William A. Seiter (6 1/2)
Piccadilly Jim,1936,d.- Robert Z. Leonard (6 1/2)
Sweeney Todd: The Demon Barber of Fleet Street,1936,(BR) d.- George King (6 1/2)
Dimples,1936,d.- William A. Seiter (6 1/2)
Winterset,1936,d.- Alfred Santell (6 1/2)
The Road to Glory,1936,d.- Howard Hawks (6 1/2)
Trouble for Two,1936,d.- J. Walter Ruben (6 1/2)
Pennies from Heaven,1936,d.- Norman Z. McLeod (6 1/2)
The Last of the Mohicans,1936,d.- George B. Seitz (6 1/2)
Dracula’s Daughter,1936,d.- Lambert Hillyer (6 1/2)
Hearts Divided,1936,d.- Frank Borzage (6 1/2)
The Tenth Man,1936,(BR) d.- Brian Desmond-Hurst (6 1/2)
Charlie Chan at the Circus,1936,d.- Harry Lachman (6 1/2)
Small Town Girl,1936,d.- William A. Wellman (6 1/2)
The Case of the Lucky Legs,1936,d.- Archie Mayo (6 1/2)
Men Are Not Gods,1936,(BR) d.- Walter Reisch (6 1/2)
As You Like It,1936,(BR) d.- Paul Czinner (6 1/2)
Beloved Enemy,1936,d.- H. C. Potter (6 1/2)
Banjo on My Knee,1936,d.- John Cromwell (6 1/2)
The Garden of Allah,1936,d.- Richard Boleslawski (6 1/2)
Don’t Turn ’em Loose,1936,d.- Benjamin Stoloff (6 1/2)
The Gay Desperado,1936,d.- Rouben Mamoulian (6 1/2)
Charlie Chan’s Secret,1936,d.- Gordon Wiles (6 1/2)
The Big Broadcast of 1937,1936,d.- Mitchell Leisen (6 1/2)
Anything Goes,1936,d.- Lewis Milestone (6 1/2)
Ramona,1936,d.- Henry King (6 1/2)
Meet Nero Wolfe,1936,d.- Herbert J. Biberman (6 1/2)
It’s Love Again,1936,(BR) d.- Victor Saville (6 1/2)
The Golden Arrow,1936,d.- Alfred E. Green (6 1/2)
The Plough and the Stars,1936,d.- John Ford (6 1/2)
The Man Who Changed His Mind,1936,(BR) d.- Robert Stevenson (6 1/2)
The Texas Rangers,1936,d.- King Vidor (6 1/2)
Beloved Enemy,1936,d.- H.C. Potter (6 1/2)
The Crimes of Stephen Hawke,1936,(BR) d.- George King (6 1/2)
Love Before Breakfast,1936,d.- Walter Lang (6 1/2)
Don’t Turn ’em Loose,1936,d.- Benjamin Stoloff (6 1/2)
Private Number,1936,d.- Roy Del Ruth (6 1/2)
Poppy,1936,d.- A. Edward Sutherland (6 1/2)
More Than a Secretary,1936,d.- Alfred E. Green (6 1/2)
Reunion,1936,d.- Norman Taurog (6 1/2)
Ceiling Zero,1936,d.- Howard Hawks (6 1/2)
Crown v. Stevens,1936,(BR) d.- Michael Powell (6 1/2)
And So They Were Married,1936,d.- Elliott Nugent (6 1/2)
Song of Freedom,1936,d.- J. Elder Wills (6 1/2)
The Singing Kid,1936,d.- William Keighley (6 1/2)
House of Secrets,1936,d.- Roland D. Reed (6 1/2)
Chatterbox,1936,"d.- George Nichols, Jr. (6 1/2)"
The Garden Murder Case,1936,d.- Edwin L. Marin (6 1/2)
Snowed Under,1936,d.- Ray Enright (6 1/2)
Love Before Breakfast,1936,d.- Walter Lang (6 1/2)
That Girl from Paris,1936,d.- Leigh Jason (6 1/2)
Private Number,1936,d.- Roy Del Ruth (6 1/2)
Two Against the World,1936,d.- William C. McGann (6)
Great Guy,1936,d.- John G. Blystone (6)
The Man Who Lived Twice,1936,d.- Harry Lachman (6)
Go-Get-‘Em Haines,1936,d.- Sam Newfield (6)
Suzy,1936,d.- George Fitzmaurice (6)
The Invisible Ray,1936,d.- Lambert Hillyer (6)
Strike Me Pink,1936,d.- Norman Taurog (6)
Tell Your Children(Reefer Madness),1936,d.- Louis J. Gasnier (5)
Lost Horizon,1937,d.- Frank Capra (7)
The Good Earth,1937,d.- Sidney Franklin (7)
The Awful Truth,1937,d.- Leo McCarey (7)
Captains Courageous,1937,d.- Victor Fleming (7)
The Prisoner of  Zenda,1937,d.- John Cromwell (7)
Maytime,1937,d.- Robert Z. Leonard (7)
Shall We Dance,1937,d.- Mark Sandrich (7)
Stage Door,1937,d.- Gregory La Cava (7)
The Life of Emile Zola,1937,d.- William Dieterle (7)
Make Way For Tomorrow,1937,d.- Leo McCarey (7)
A Star Is Born,1937,d.- William A. Wellman (7)
Nothing Sacred,1937,d.- William A. Wellman (6 1/2)
Way Out West,1937,d.- James W. Horne (6 1/2)
Dead End,1937,d.- William Wyler (6 1/2)
A Day at the Races,1937,d.- Sam Wood (6 1/2)
Stella Dallas,1937,d.- King Vidor (6 1/2)
Easy Living,1937,d.- Mitchell Leisen (6 1/2)
"Oh, Mr. Porter!",1937,(BR) d.- Marcel Varnel (6 1/2)
In Old Chicago,1937,d.- Henry King (6 1/2)
You Only Live Once,1937,d.- Fritz Lang (6 1/2)
Heidi,1937,d.- Allan Dwan (6 1/2)
Topper,1937,d.- Norman Z. McLeod (6 1/2)
History is Made at Night,1937,d.- Frank Borzage (6 1/2)
They Won't Forget,1937,d.- Mervyn LeRoy (6 1/2)
Wee Willie Winkie,1937,d.- John Ford (6 1/2)
The Hurricane,1937,d.- John Ford (6 1/2)
Fire Over England,1937,(BR) d.- William K. Howard (6 1/2)
Broadway Melody of 1938,1937,d.- Roy Del Ruth (6 1/2)
It's Love I'm After,1937,d.- Archie Mayo (6 1/2)
Angel,1937,d.- Ernst Lubitsch (6 1/2)
Conquest,1937,d.- Clarence Brown (6 1/2)
Night Must Fall,1937,d.- Richard Thorpe (6 1/2)
The Toast of New York,1937,d.- Rowland V. Lee (6 1/2)
"Think Fast, Mr. Moto",1937,d.- Norman Foster (6 1/2)
The Firefly,1937,d.- Robert Z. Leonard (6 1/2)
Maid of Salem,1937,d.- Frank Lloyd (6 1/2)
One Hundred Men and a Girl,1937,d.- Henry Koster (6 1/2)
"Thank You, Mr. Moto",1937,d.- Norman Foster (6 1/2)
On the Avenue,1937,d.- Roy Del Ruth (6 1/2)
Conquest,1937,d.- Clarence Brown (6 1/2)
Young and Innocent,1937,(BR) d.- Alfred Hitchcock (6 1/2)
Marked Woman,1937,d.- Lloyd Bacon (6 1/2)
Seventh Heaven,1937,d.- Henry King (6 1/2)
Kid Galahad,1937,d.- Michael Curtiz (6 1/2)
Thin Ice,1937,d.- Sidney Lanfield (6 1/2)
Charlie Chan at the Olympics,1937,d.- H. Bruce Humberstone (6 1/2)
King Solomon’s Mines,1937,(BR) d.- Robert Stevenson (6 1/2)
Tovarich,1937,d.- Anatole Litvak (6 1/2)
Wells Fargo,1937,d.- Frank Lloyd (6 1/2)
Café Metropole,1937,d.- Edward H. Griffith (6 1/2)
Double Wedding,1937,d.- Richard Thorpe (6 1/2)
The Prince and the Pauper,1937,d.- William Keighley (6 1/2)
Madame X,1937,d.- Sam Wood (6 1/2)
Knight Without Armour,1937,(BR) Jacques Feyder (6 1/2)
A Damsel in Distress,1937,d.- George Stevens (6 1/2)
The Edge of the World,1937,(BR) d.- Michael Powell (6 1/2)
Storm in a Teacup,1937,"(BR) d.- Ian Dalrymple, Victor Saville (6 1/2)"
Saratoga,1937,d.- Jack Conway (6 1/2)
The Road Back,1937,d.- James Whale (6 1/2)
Charlie Chan on Broadway,1937,d.- Eugene Forde (6 1/2)
Black Legion,1937,d.- Archie Mayo (6 1/2)
Elephant Boy,1937,"(BR) d.- Robert J. Flaherty, Zoltan Korda (6 1/2)"
The Great O’Malley,1937,d.- William Dieterle (6 1/2)
The Great Garrick,1937,d.- James Whale (6 1/2)
Madame X,1937,d.- Sam Wood (6 1/2)
Charlie Chan at Monte Carlo,1937,d.- Eugene Forde (6 1/2)
This Is My Affair,1937,d.- William A. Seiter (6 1/2)
Ever Since Eve,1937,d.- Lloyd Bacon (6 1/2)
The Last of Mrs. Cheyney,1937,d.- Richard Boleslawski (6 1/2)
Victoria the Great,1937,(BR) d.- Herbert Wilcox (6 1/2)
The Last Gangster,1937,d.- Edward Ludwig (6 1/2)
Souls at Sea,1937,d.- Henry Hathaway (6 1/2)
That Certain Woman,1937,d.- Edmund Goulding (6 1/2)
Ali Baba Goes to Town,1937,d.- David Butler (6 1/2)
Bulldog Drummond Escapes,1937,d.- James P. Hogan (6 1/2)
The King and the Chorus Girl,1937,d.- Mervyn Leroy (6 1/2)
The Woman I Love,1937,d.- Anatole Litvak (6 1/2)
Big City,1937,d.- Frank Borzage (6 1/2)
Midnight Taxi,1937,d.- Eugene Forde (6 1/2)
San Quentin,1937,d.- Lloyd Bacon (6 1/2)
The Bride Wore Red,1937,d.- Dorothy Arzner (6 1/2)
Rosalie,1937,d.- W. S. Van Dyke (6 1/2)
Hollywood Hotel,1937,d.- Busby Berkeley (6 1/2)
Dark Journey,1937,d.- Victor Saville (6 1/2)
You’re Only Young Once,1937,d.- George B. Seitz (6 1/2)
Quality Street,1937,d.- George Stevens (6 1/2)
Every Day’s a Holiday,1937,d.- A. Edward Sutherland (6 1/2)
Mannequin,1937,d.- Frank Borzage (6 1/2)
Slim,1937,d.- Ray Enright (6 1/2)
Love is News,1937,d.- Tay Garnett (6 1/2)
The Emperor’s Candlesticks,1937,d.- George Fitzmaurice (6 1/2)
"Swing High, Swing Low",1937,d.- Mitchell Leisen (6 1/2)
Confession,1937,d.- Joe May (6 1/2)
This Way Please,1937,d.- Robert Florey (6 1/2)
Green Light,1937,d.- Frank Borzage (6 1/2)
Big Fella,1937,d.- J. Elder Wills (6 1/2)
Something to Sing About,1937,d.- Victor Schertzinger (6 1/2)
Navy Blue and Gold,1937,d.- Sam Wood (6 1/2)
Back in Circulation,1937,d.- Ray Enright (6 1/2)
You Can’t Have Everything,1937,d.- Norman Taurog (6 1/2)
"High, Wide and Handsome",1937,d.- Rouben Mamoulian (6 1/2)
Slave Ship,1937,d.- Tay Garnett (6 1/2)
Valiant Is the Word for Carrie,1937,d.- Wesley Ruggles (6 1/2)
"Ready, Willing and Able",1937,d.- Ray Enright (6 1/2)
Wake Up and Live,1937,d.- Sidney Lanfield (6 1/2)
The Singing Marine,1937,d.- Ray Enright (6 1/2)
Bulldog Drummond’s Revenge,1937,d.- Louis King (6 1/2)
Stand-In,1937,d.- Tay Garnett (6 1/2)
Night Key,1937,d.- Lloyd Corrigan (6 1/2)
You’re a Sweetheart,1937,d.- David Butler (6 1/2)
"Good Morning, Boys",1937,(BR) d.- Marcel Varnel (6 1/2)
True Confession,1937,d.- Wesley Ruggles (6 1/2)
Stolen Holiday,1937,d.- Michael Curtiz (6 1/2)
Fly Away Baby,1937,d.- Frank McDonald (6 1/2)
Thoroughbreds Don’t Cry,1937,d.- Alfred E. Green (6 1/2)
The Man Who Cried Wolf,1937,d.- Lewis R. Foster (6 1/2)
Wise Girl,1937,d.- Leigh Jason (6 1/2)
Personal Property,1937,d.- W. S. Van Dyke (6 1/2)
The Crime Nobody Saw,1937,d.- Charles Barton (6 1/2)
Waikiki Wedding,1937,d.- Frank Tuttle (6 1/2)
It’s All Yours,1937,d.- Elliott Nugent (6 1/2)
When You’re in Love,1937,d.- Robert Riskin (6)
It’s Never Too Late to Mend,1937,(BR) d.- David Macdonald (6)
When Love is Young,1937,d.- Hal Mohr (6)
They Gave Him a Gun,1937,d.- W. S. Van Dyke (6)
Woman Chases Man,1937,d.- John G. Blystone (6)
Parnell,1937,d.- John M. Stahl (6)
Double or Nothing,1937,d.- Theodore Reed (6)
Smart Blonde,1937,d.- Frank McDonald (6)
It Isn’t Done,1937,(AUS) d.- Ken G. Hall (6)
Trouble in Texas,1937,d.- Robert N. Bradbury (6)
The Adventures of Robin Hood,1938,"d.- Michael Curtiz, William Keighley (7)"
